tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
1625,37,1,1,0,0,0,0,0,0
1626,4,1,1,0,0,0,0,0,0
1627,34,1,1,0,0,0,0,0,0
1628,36,1,1,0,0,0,0,0,0
1629,22,1,1,0,0,0,0,0,0
1630,12,1,1,0,0,0,0,0,0
1631,7,1,1,0,0,0,0,0,0
1632,27,1,1,0,0,0,0,0,0
1633,3,1,1,0,0,0,0,0,0
1634,10,1,1,0,0,0,0,0,0
1635,24,1,1,0,0,0,0,0,0
1636,10,1,1,0,0,0,0,0,0
1637,23,1,1,0,0,0,0,0,0
1638,5,1,1,0,0,0,0,0,0
1639,11,1,1,0,0,0,0,0,0
1640,25,1,1,0,0,0,0,0,0
1641,5,1,1,0,0,0,0,0,0
1642,28,1,1,0,0,0,0,0,0
1643,4,1,1,0,0,0,0,0,0
1644,35,1,1,0,0,0,0,0,0
1645,3,1,1,0,0,0,0,0,0
1646,16,1,1,0,0,0,0,0,0
1647,21,1,1,0,0,0,0,0,0
1648,35,1,1,0,0,0,0,0,0
1649,9,1,1,0,0,0,0,0,0
1650,37,1,1,0,0,0,0,0,0
1651,2,1,1,0,0,0,0,0,0
1652,4,1,1,0,0,0,0,0,0
1653,2,1,1,0,0,0,0,0,0
1654,23,1,1,0,0,0,0,0,0
1655,15,1,1,0,0,0,0,0,0
1656,23,1,1,0,0,0,0,0,0
1657,35,1,1,0,0,0,0,0,0
1658,12,1,1,0,0,0,0,0,0
1659,5,1,1,0,0,0,0,0,0
1660,15,1,1,0,0,0,0,0,0
1661,8,1,1,0,0,0,0,0,0
1662,24,1,1,0,0,0,0,0,0
1663,12,1,1,0,0,0,0,0,0
1664,13,1,1,0,0,0,0,0,0
1665,15,1,1,0,0,0,0,0,0
1666,21,1,1,0,0,0,0,0,0
1667,5,1,1,0,0,0,0,0,0
1668,12,1,1,0,0,0,0,0,0
1669,20,1,1,0,0,0,0,0,0
